Round,Odd Score,Even Score,Dealer,Called By,Alone,Trump,Trick,Odd Tricks,Even Tricks,Player,Card 1 Value,Card 1 Suit,Card 2 Value,Card 2 Suit,Card 3 Value,Card 3 Suit,Card 4 Value,Card 4 Suit,Card 5 Value,Card 5 Suit,Played 1 Value,Played 1 Suit,Played 2 Value,Played 2 Suit,Played 3 Value,Played 3 Suit,Selected Value,Selected Suit,Winner
1,0,0,1,2,0,2,1,0,0,2,14,2,13,2,12,2,15,4,10,4,0,0,0,0,0,0,10,4,0
1,0,0,1,2,0,2,1,0,0,3,11,1,10,1,11,3,9,3,9,4,10,4,0,0,0,0,9,4,0
1,0,0,1,2,0,2,1,0,0,4,12,1,9,1,16,2,13,3,12,3,10,4,9,4,0,0,16,2,4
1,0,0,1,2,0,2,1,0,1,1,14,1,10,2,14,3,14,4,12,4,10,4,9,4,16,2,12,4,0
1,0,0,1,2,0,2,2,0,1,4,12,1,9,1,0,0,13,3,12,3,0,0,0,0,0,0,13,3,0
1,0,0,1,2,0,2,2,0,1,1,14,1,10,2,14,3,14,4,0,0,13,3,0,0,0,0,14,3,1
1,0,0,1,2,0,2,2,0,1,2,14,2,13,2,12,2,15,4,0,0,13,3,14,3,0,0,15,4,0
1,0,0,1,2,0,2,2,1,1,3,11,1,10,1,11,3,9,3,0,0,13,3,14,3,15,4,11,3,0
1,0,0,1,2,0,2,3,1,1,1,14,1,10,2,0,0,14,4,0,0,0,0,0,0,0,0,14,1,0
1,0,0,1,2,0,2,3,1,1,2,14,2,13,2,12,2,0,0,0,0,14,1,0,0,0,0,12,2,2
1,0,0,1,2,0,2,3,1,1,3,11,1,10,1,0,0,9,3,0,0,14,1,12,2,0,0,10,1,0
1,0,0,1,2,0,2,3,1,2,4,12,1,9,1,0,0,0,0,12,3,14,1,12,2,10,1,9,1,0
1,0,0,1,2,0,2,4,1,2,2,14,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0
1,0,0,1,2,0,2,4,1,2,3,11,1,0,0,0,0,9,3,0,0,13,2,0,0,0,0,11,1,3
1,0,0,1,2,0,2,4,1,2,4,12,1,0,0,0,0,0,0,12,3,13,2,11,1,0,0,12,1,0
1,0,0,1,2,0,2,4,2,2,1,0,0,10,2,0,0,14,4,0,0,13,2,11,1,12,1,10,2,0
1,0,0,1,2,0,2,5,2,2,3,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,9,3,0
1,0,0,1,2,0,2,5,2,2,4,0,0,0,0,0,0,0,0,12,3,9,3,0,0,0,0,12,3,0
1,0,0,1,2,0,2,5,2,2,1,0,0,0,0,0,0,14,4,0,0,9,3,12,3,0,0,14,4,0
1,0,1,1,2,0,2,5,2,3,2,14,2,0,0,0,0,0,0,0,0,9,3,12,3,0,0,14,2,2
2,0,1,2,3,0,4,1,0,0,3,13,1,10,2,11,3,14,4,13,4,0,0,0,0,0,0,13,1,0
